model,arm,case_id,verdict,note
qwen3.5-4b,baseline,D-01,,
qwen3.5-4b,baseline,D-02,,
qwen3.5-4b,baseline,D-03,,
qwen3.5-4b,baseline,D-04,,
qwen3.5-4b,baseline,D-05,,
qwen3.5-4b,baseline,E-01,,
qwen3.5-4b,baseline,E-02,,
qwen3.5-4b,baseline,E-03,,
qwen3.5-4b,baseline,E-04,,
qwen3.5-4b,baseline,E-05,,
qwen3.5-4b,baseline,E-06,,
qwen3.5-4b,baseline,E-07,,
qwen3.5-4b,baseline,E-08,,
qwen3.5-4b,baseline,N-01,,
qwen3.5-4b,baseline,N-02,,
qwen3.5-4b,baseline,N-03,,
qwen3.5-4b,baseline,N-04,,
qwen3.5-4b,baseline,R-01,,
qwen3.5-4b,baseline,R-02,,
qwen3.5-4b,baseline,R-03,,
qwen3.5-4b,baseline,R-04,,
qwen3.5-4b,baseline,R-05,,
qwen3.5-4b,baseline,R-06,,
qwen3.5-4b,baseline,R-07,,
qwen3.5-4b,mcp,D-01,,
qwen3.5-4b,mcp,D-02,,
qwen3.5-4b,mcp,D-03,,
qwen3.5-4b,mcp,D-04,,
qwen3.5-4b,mcp,D-05,,
qwen3.5-4b,mcp,E-01,,
qwen3.5-4b,mcp,E-02,,
qwen3.5-4b,mcp,E-03,,
qwen3.5-4b,mcp,E-04,,
qwen3.5-4b,mcp,E-05,,
qwen3.5-4b,mcp,E-06,,
qwen3.5-4b,mcp,E-07,,
qwen3.5-4b,mcp,E-08,,
qwen3.5-4b,mcp,N-01,,
qwen3.5-4b,mcp,N-02,,
qwen3.5-4b,mcp,N-03,,
qwen3.5-4b,mcp,N-04,,
qwen3.5-4b,mcp,R-01,,
qwen3.5-4b,mcp,R-02,,
qwen3.5-4b,mcp,R-03,,
qwen3.5-4b,mcp,R-04,,
qwen3.5-4b,mcp,R-05,,
qwen3.5-4b,mcp,R-06,,
qwen3.5-4b,mcp,R-07,,
